,CNOOC,State_Grid,PetroChina,CNNC ,Trina_Solar,Tokyo_Electric ,Brookfield ,BP,ConocoPhillips,Canadian_Solar ,Chevron,Duke_Energy,Enbridge,Enel,Eni,E.ON,Enterprise,Equinor,Energy_Transfer,Exelon,First_Solar ,Gazprom,Iberdrola,Indian_Oil,Inter_Rao,Kinder_Morgan,NextEra,NEL,Neste,Petrobras ,Rosneft,REW,Suncor,Tata_Power,Tullow_Oil,TC_Energy,Vestas,Williams,ExxonMobil 
743,11.14000034,13.73999977,5.21999979,7.190000057,63.20000076,493.0,35.45999908,31.28000069,105.0199966,29.38999939,167.8200073,109.8300018,44.54000092,6.123000145,13.89000034,10.04500008,26.76000023,33.97999954,11.10999966,47.15000153,65.76999664,263.0,11.10000038,77.96666718,2.881,19.03000069,71.22000122,13.43500042,40.56999969,15.42000008,384.25,43.11999893,38.08000183,233.25,53.54999924,57.25,156.6799927,35.38000107,91.86000061
744,11.30000019,13.32999992,5.21999979,7.179999828,63.58000183,501.0,36.13000107,32.11000061,109.0199966,29.13999939,171.7200012,110.8099976,44.90999985,6.132999897,13.71399975,10.10499954,26.79000092,35.20999908,11.27000046,47.88999939,66.05999756,263.0,11.14500046,78.46666718,2.825,19.15999985,72.55000305,14.01500034,41.41999817,16.26000023,367.05,43.31999969,39.41999817,229.8000031,54.34999847,57.77999878,164.0800018,36.02000046,93.88999939
745,11.22000027,12.78999996,5.179999828,7.010000229,62.5,501.0,36.34999847,32.08000183,109.4800034,30.62000084,172.6399994,112.9800034,44.97999954,6.039000034,13.60999966,9.779999733,26.79999924,35.59000015,11.17000008,48.83000183,64.58999634,265.8,11.13000011,79.1333313,2.8585,19.13999939,74.66999817,13.61499977,41.38999939,14.22999954,359.2,41.41999817,38.75999832,227.0,54.25,57.75999832,170.1600037,36.20999908,94.40000153
746,11.42000008,13.39000034,5.320000172,7.150000095,65.23999786,508.0,36.61999893,32.36999893,111.1999969,29.19000053,175.4100037,112.3899994,45.09999847,6.131999969,14.11999989,9.779999733,27.34000015,36.95999908,11.43999958,49.02000046,66.04000092,271.4,11.41499996,76.53333282,2.867,19.38999939,74.79000092,13.22999954,42.68999863,14.55000019,378.0,41.41999817,39.40000153,220.8999939,54.65000153,56.84000015,168.0599976,36.68999863,96.30000305
747,11.60000038,13.40999985,5.360000134,7.360000134,63.90000153,502.0,37.09000015,32.66999817,113.1500015,30.30999947,176.5899963,113.2300034,45.84999847,6.184000015,14.24600029,9.880000114,27.37999916,37.38000107,11.56999969,49.15999985,68.08000183,295.89,11.28499985,76.1333313,2.9435,19.62000084,75.04000092,13.22999954,42.68999863,14.80000019,391.7,41.70000076,39.58000183,221.4499969,57.15000153,57.08000183,168.0599976,36.91999817,96.63999939
748,12.0,13.28999996,5.550000191,7.28000021,63.02999878,500.0,36.72999954,32.56000137,114.5999985,31.29999924,178.2799988,114.4000015,46.20000076,6.18599987,14.19200039,9.880000114,27.60000038,37.65999985,11.64999962,49.84999847,72.01000214,294.5,11.30500031,76.09999847,3.16,19.94000053,77.43000031,14.60000038,43.52999878,14.26000023,401.5,41.70000076,40.61000061,224.6499939,55.45000076,57.5,168.0599976,37.45999908,97.58999634
749,12.0,13.28999996,5.550000191,7.28000021,63.02999878,500.0,36.72999954,32.56000137,114.5999985,31.29999924,178.2799988,114.4000015,46.20000076,6.18599987,14.19200039,9.880000114,27.60000038,37.65999985,11.64999962,49.84999847,72.01000214,294.5,11.30500031,76.09999847,3.16,19.94000053,77.43000031,14.60000038,43.52999878,14.26000023,401.5,41.70000076,40.61000061,224.6499939,55.45000076,57.5,168.0599976,37.45999908,97.58999634
750,12.15999985,13.5,5.53000021,7.25,62.0,486.0,36.72999954,32.56000137,114.5999985,31.29999924,178.2799988,114.4000015,46.20000076,6.162000179,14.19999981,9.880000114,27.60000038,37.65999985,11.64999962,49.84999847,72.01000214,300.8,11.10999966,77.40000153,3.2565,19.94000053,77.43000031,14.74499989,43.43000031,14.26000023,385.1,41.70000076,40.61000061,233.25,55.59999847,57.5,179.6399994,37.45999908,97.58999634
751,12.42000008,14.5,5.659999847,7.260000229,64.19999695,481.0,35.58000183,32.36999893,112.3600006,32.06000137,174.6600037,112.5199966,46.15000153,6.044000149,14.19799995,9.484000206,27.42000008,37.65999985,11.65999985,49.15000153,70.61000061,293.75,11.03499985,77.33333588,3.16,19.69000053,75.69000244,14.625,42.70999908,13.88000011,377.0,41.0,40.38000107,235.1499939,54.59999847,57.84000015,177.0599976,37.06000137,96.0
752,12.19999981,14.14000034,5.550000191,7.150000095,60.72999954,490.0,34.68999863,32.68999863,115.75,32.25,176.3200073,111.6699982,45.95000076,5.923999786,14.09799957,9.510000229,27.95000076,36.91999817,11.93999958,49.18999863,70.87000275,297.69,10.84500027,78.80000305,3.17,20.02000046,76.16999817,14.29500008,42.88999939,13.82999992,375.95,40.79999924,40.93999863,232.75,53.5,58.09000015,176.1799927,37.43000031,97.83999634
